player,season,AGE,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,OFFRTG,DEFRTG,player_possessions,WS,win_score_final,win_score_final_40_game_season,wins_per_100_poss,Pos,Player
Tamika Catchings,30135,450,14373,7371,2382,5738,605,1701,2002,2384,916,2397,1484,1041,1072,383,1229,1502.2,1407.7,26513.2945,93.7,89.68,106.14,0.34,F,Tamika Catchings
Sylvia Fowles,30225,450,12317,6413,2530,4223,1,1,1352,1857,1132,2873,461,961,490,721,1049,1514.4,1449.4,23970.424,73.5,84.27,100.48,0.35,C,Sylvia Fowles
Candace Parker,32248,488,12445,6574,2471,5163,342,1027,1290,1682,621,2846,1634,1062,521,619,834,1658.4,1538.7,24567.1425,64.2,82.86,100.20,0.34,F,Candace Parker
Lisa Leslie,24032,368,11614,6251,2329,4950,123,386,1470,2117,880,2423,873,1186,490,818,1391,1196.2,1103,21799.42925,59.7,65.01,79.92,0.30,C,Lisa Leslie
Nneka Ogwumike,26234,364,11719,6502,2554,4713,165,448,1229,1462,791,2168,797,697,618,242,1047,1335.1,1262.6,23282.642,69,67.71,78.69,0.29,F,Nneka Ogwumike
Sue Bird,38220,600,18083,6802,2479,5778,1001,2551,843,988,211,1255,3234,1393,724,72,775,1960.9,1840.8,34294.87325,61.7,65.35,78.20,0.19,G,Sue Bird
Diana Taurasi,40279,659,17278,10608,3328,7843,1440,4000,2512,2887,239,1962,2389,1516,515,349,1732,2075.9,2034.5,34886.61675,74.3,65.15,77.65,0.19,G,Diana Taurasi
Lauren Jackson,24078,318,10123,6005,2089,4543,436,1243,1391,1653,707,1737,435,549,360,586,982,1216.9,1109.3,18619.906,73.1,62.86,74.52,0.34,F,Lauren Jackson
Lindsay Whalen,30165,450,13581,5511,1958,4244,193,664,1402,1725,354,1451,2347,1002,500,41,998,1543.9,1426.1,26434.7115,59.9,62.97,74.08,0.24,G,Lindsay Whalen
Taj McWilliams-Franklin,28077,497,13523,4992,1979,4049,69,247,965,1311,1059,1947,879,898,577,443,1145,1398,1331.9,25157.25725,53.9,58.80,70.38,0.23,F,Taj McWilliams-Franklin
Yolanda Griffith,22044,385,8937,4224,1497,2962,0,5,1230,1723,1048,1392,451,653,527,323,991,1086,1028.1,16241.51225,59.4,57.37,69.63,0.35,C,Yolanda Griffith
Rebekkah Brunson,30165,450,11364,4133,1592,3414,43,126,906,1310,1165,2180,486,615,456,281,996,1506.9,1433.7,21918.6195,48.6,57.66,67.83,0.26,F,Rebekkah Brunson
Breanna Stewart,16161,209,8540,5419,1863,3967,433,1215,1260,1507,352,1919,819,485,368,383,581,868.9,783.2,17162.39075,54.1,57.22,67.13,0.33,F,Breanna Stewart
DeWanna Bonner,30247,442,15252,7480,2497,6006,623,2052,1863,2173,621,2445,1138,798,603,335,848,1546,1483.3,30434.588,61.8,53.53,63.88,0.18,G,DeWanna Bonner
Courtney Vandersloot,28245,413,12022,4278,1609,3603,380,1127,680,837,197,1164,2850,1128,533,191,925,1452.7,1380.4,24282.4355,36.1,49.74,59.89,0.20,G,Courtney Vandersloot
Tina Thompson,34085,527,16063,7470,2623,6286,745,2014,1479,1777,884,2181,803,1213,452,372,1270,1679.8,1599.4,29365.05,60.7,48.40,59.56,0.16,F,Tina Thompson
Sheryl Swoopes,24040,400,10591,4875,1828,4196,270,855,949,1151,344,1252,1037,677,657,216,519,1173.3,1115.5,18864.438,56,47.08,57.89,0.25,F,Sheryl Swoopes
Sancho Lyttle,30180,435,9361,3478,1451,3070,41,161,535,760,746,1850,592,563,630,221,947,1475.9,1400.6,18741.59875,35.8,47.74,56.16,0.25,F,Sancho Lyttle
Katie Douglas,28105,413,12608,5545,1919,4627,723,1969,984,1223,438,1124,1069,824,623,126,697,1384.2,1325.9,23838.69475,49,47.03,55.68,0.20,G,Katie Douglas
Ticha Penicheiro,30075,465,12742,2729,847,2422,128,516,907,1241,203,1282,2588,1125,761,51,913,1453.4,1418.7,23444.26575,27.3,45.56,55.27,0.19,G,Ticha Penicheiro
Tina Charles,26212,368,13738,7696,3104,6887,185,578,1303,1680,1129,2885,959,958,351,409,948,1286.5,1296.7,27096.123,45.9,45.42,52.69,0.17,C,Tina Charles
Vickie Johnson,26039,416,12407,4230,1620,3757,295,827,695,847,508,1126,1202,660,357,58,752,1260.4,1218.5,22194.1145,40.5,42.01,51.51,0.19,G,Vickie Johnson
Brittney Griner,22200,310,9569,5572,2199,3916,16,44,1158,1449,529,1793,600,673,161,812,890,1141.3,1094.8,18861.954,49,43.07,50.72,0.23,C,Brittney Griner
Elena Delle Donne,20178,288,7282,4706,1624,3417,343,874,1115,1190,355,1264,450,275,174,349,396,1079.6,958,14356.404,50.1,43.69,50.70,0.30,F,Elena Delle Donne
Penny Taylor,26101,361,9495,4595,1553,3333,407,1068,1082,1246,425,1127,1049,695,479,136,832,1337.3,1256,18248.71575,48.9,42.68,50.66,0.23,F,Penny Taylor
A'ja Wilson,14147,175,7083,4782,1756,3535,60,174,1210,1485,432,1655,491,354,272,441,446,750.8,688.7,14669.80925,45,43.74,50.47,0.30,C,A'ja Wilson
Maya Moore,16116,212,8466,4984,1782,3932,530,1381,890,1035,462,1127,896,527,449,176,686,864.2,755.7,16540.43675,53.6,42.62,50.14,0.26,F,Maya Moore
Candice Dupree,32216,472,15114,6861,2829,5719,30,123,1173,1430,762,2370,902,869,431,316,876,1592.8,1655.1,29758.78575,44.1,42.56,50.01,0.14,F,Candice Dupree
Becky Hammon,32104,488,12518,5816,1909,4353,825,2182,1173,1309,171,937,1705,1219,485,59,733,1574.9,1526.9,23113.98725,45,42.08,50.00,0.18,G,Becky Hammon
Jonquel Jones,16160,216,7018,3663,1338,2589,303,805,684,861,690,1629,514,541,231,371,781,860.6,756.3,14094.435,42.5,43.25,48.85,0.31,C,Jonquel Jones
Alyssa Thomas,22209,308,9754,3889,1502,3112,1,20,884,1368,655,1741,1463,830,494,104,843,1121.6,1039.9,19434.27075,35.6,41.11,47.99,0.21,F,Alyssa Thomas
Margo Dydek,22033,330,7873,3214,1207,2589,23,78,777,982,364,1774,524,758,174,873,950,1034.7,1026.7,14760.7705,26.6,37.77,45.91,0.26,C,Margo Dydek
Katie Smith,30090,495,15721,6450,2053,5085,906,2466,1438,1675,320,1063,1258,935,408,78,1199,1423.3,1415.9,28862.1585,59.8,38.19,45.80,0.13,G,Katie Smith
Crystal Langhorne,26182,364,10448,4433,1809,3230,27,106,788,1122,732,1722,433,782,314,117,737,1234.1,1295.9,20155.1035,34.4,38.54,45.38,0.19,F,Crystal Langhorne
Chelsea Gray,20195,275,9062,3916,1484,3214,347,909,601,695,135,880,1631,744,374,91,514,1049.6,960.9,18221.23275,31,38.78,45.07,0.21,G,Chelsea Gray
Michelle Snow,26105,378,9478,3361,1320,2610,2,11,719,1021,706,1770,437,723,262,403,1108,1210.4,1270.9,17699.27725,31.4,36.46,43.07,0.21,C,Michelle Snow
Seimone Augustus,30195,450,11250,6005,2455,5111,293,805,802,935,211,1017,911,613,280,133,477,1556.1,1464.8,22211.20625,41.9,35.63,42.68,0.16,G,Seimone Augustus
Erika de Souza,24134,362,7513,3046,1336,2527,0,1,374,587,784,1436,297,483,276,370,858,1152.5,1204.2,15308.95225,28.6,36.15,42.52,0.24,F,Erika de Souza
Chamique Holdsclaw,22046,299,9164,4713,1824,4112,75,285,990,1247,612,1511,698,789,376,143,667,1073.3,1064.5,16764.3785,33,34.79,42.18,0.21,F,Chamique Holdsclaw
DeLisha Milton-Jones,34119,561,14386,5571,2083,4733,312,960,1093,1383,768,1806,921,1173,619,339,1574,1684.4,1633.2,27435.8375,37.4,31.06,37.69,0.11,F,DeLisha Milton-Jones
Andrea Stinson,18009,306,8058,3351,1310,2905,207,611,524,712,279,848,810,571,342,117,511,858.9,860.6,14079.3885,29.3,29.44,37.55,0.21,G,Andrea Stinson
Teresa Weatherspoon,16004,284,7105,1257,437,1066,73,262,310,471,157,618,1333,601,463,21,589,746.5,725.6,12467.12725,18.9,28.88,37.30,0.23,G,Teresa Weatherspoon
Cheryl Ford,14042,182,5575,2116,780,1706,0,3,556,935,639,1268,201,374,224,160,713,679.3,640,10572.25675,23.6,31.38,36.92,0.30,F,Cheryl Ford
Kara Lawson,26117,377,9216,3670,1257,3033,583,1491,573,644,174,802,946,526,229,41,457,1278.9,1227.5,17702.1,35.1,31.37,36.91,0.18,G,Kara Lawson
Jewell Loyd,20195,265,9965,5536,1842,4580,567,1631,1285,1453,276,913,1052,727,389,80,559,1027.2,982.4,20023.3055,28.4,30.26,36.35,0.15,G,Jewell Loyd
Swin Cash,30135,450,13441,5119,1773,4357,176,638,1397,1845,777,1744,1131,1127,384,258,1146,1440.4,1394,25621.797,35.5,30.64,36.32,0.12,F,Swin Cash
Alana Beard,28163,429,12336,4740,1804,4150,288,857,844,1103,259,1161,1061,854,710,220,1153,1395.6,1348.8,23886.116,33,30.84,36.28,0.13,G,Alana Beard
Sophia Young-Malcolm,18092,245,9260,4300,1659,3545,27,121,955,1331,549,1258,554,482,477,111,687,887.9,887.1,17846.263,34.6,29.89,35.16,0.17,F,Sophia Young-Malcolm
Natalie Williams,14014,224,6883,2894,1066,2250,8,28,754,1018,733,1099,308,480,270,122,847,686.2,688.2,12246.67975,29.3,28.45,34.83,0.23,C,Natalie Williams
Jia Perkins,28147,413,10153,4433,1669,4114,396,1127,699,838,323,897,837,513,634,103,711,1334.9,1338.5,19668.74175,28.3,29.27,34.43,0.15,G,Jia Perkins
Tiffany Hayes,24214,346,9512,4623,1520,3466,406,1196,1177,1489,299,834,843,556,364,83,933,1190,1169,19141.79275,35.8,30.10,34.41,0.16,G,Tiffany Hayes
Tammy Sutton-Brown,24078,354,9567,3498,1240,2590,0,5,1018,1454,708,1302,232,672,319,555,1193,1156.5,1130.1,17396.342,32.9,28.80,34.30,0.17,C,Tammy Sutton-Brown
Courtney Williams,18180,243,7960,3462,1508,3443,195,528,251,341,333,1198,1094,542,253,87,467,931.7,893.9,16079.205,16.7,30.20,34.28,0.19,G,Courtney Williams
Cappie Pondexter,26156,390,12739,6781,2434,5777,464,1320,1449,1722,248,1265,1575,945,405,72,869,1316.3,1329.6,25549.37475,37.5,28.92,34.03,0.11,G,Cappie Pondexter
Shannon Johnson,22044,330,10369,3542,1108,2803,313,936,1013,1328,325,818,1423,934,490,67,813,1055.4,1064.8,18850.44325,25.4,28.00,33.93,0.15,G,Shannon Johnson
Mwadi Mabika,24030,318,8939,3576,1256,3256,415,1271,649,812,317,1010,774,532,370,98,941,1162.3,1126.4,16744.82575,30.4,26.73,33.19,0.16,G,Mwadi Mabika
Cynthia Cooper,9997,187,4364,2601,802,1750,239,632,758,870,94,308,602,422,192,35,265,518.5,458.5,7774.30125,36.4,24.89,32.82,0.32,G,Cynthia Cooper
Kayla McBride,22209,308,10111,4835,1611,3910,619,1673,994,1111,162,931,808,555,369,37,455,1103.9,1114.9,20243.18825,28,27.94,32.71,0.14,G,Kayla McBride
Emma Meesseman,16136,200,6209,2738,1160,2224,95,256,323,378,409,854,627,331,255,225,559,826,784.3,12118.3185,29.2,27.20,32.59,0.22,F,Emma Meesseman
Vicky Bullett,11997,195,5934,2018,813,1798,70,222,322,415,360,829,296,359,353,288,507,562.2,553,10564.0195,22.8,25.06,32.24,0.24,F,Vicky Bullett
Chasity Melvin,24054,354,10372,3781,1416,3047,16,56,933,1376,881,1216,508,666,330,228,1165,1153.1,1154.3,18686.44975,33.8,26.79,32.23,0.14,C,Chasity Melvin
Elena Baranova,14007,210,5982,2110,779,1836,224,573,328,388,299,1036,430,444,215,320,501,663.1,674.2,10637.1755,19.6,25.69,31.81,0.24,F,Elena Baranova
Deanna Nolan,18045,234,9175,3971,1476,3546,340,973,679,837,234,878,930,669,388,101,628,861.9,843.7,17399.4865,31.3,26.68,31.45,0.15,G,Deanna Nolan
Kristi Toliver,28220,416,10223,4474,1559,3522,651,1698,705,802,162,667,1301,748,329,29,722,1418.5,1406,20126.78075,31.1,26.68,31.43,0.13,G,Kristi Toliver
Jackie Young,12129,147,5946,2685,965,2076,231,599,524,615,157,649,803,326,214,46,397,642.9,580.6,12322.65175,24.4,26.98,31.34,0.22,G,Jackie Young
Dearica Hamby,20195,265,7744,3279,1237,2588,123,413,682,1016,462,1506,544,540,317,80,679,988.6,994.1,15735.826,19.6,25.48,31.11,0.16,F,Dearica Hamby
Janeth Arcain,16005,261,7625,2633,992,2272,78,311,571,659,284,632,469,453,346,28,512,797.1,713.9,13276.366,28.4,24.56,31.04,0.19,G,Janeth Arcain
Danielle Robinson,24205,349,9340,3160,1225,2724,40,202,670,778,175,813,1480,680,389,44,692,1188.2,1191.2,18590.79625,19,25.47,31.03,0.14,G,Danielle Robinson
Leilani Mitchell,26189,397,8836,2618,874,2213,508,1319,362,434,179,666,1197,525,330,56,684,1274.6,1267.8,17317.1985,21.1,24.57,29.93,0.14,G,Leilani Mitchell
Angel McCoughtry,26200,382,8695,5797,2018,4699,249,849,1512,1885,496,1065,915,949,627,193,857,1077.4,1079.2,17949.1265,37.7,23.71,29.86,0.13,F,Angel McCoughtry
Skylar Diggins,20180,280,9347,4822,1593,3806,363,1133,1273,1498,191,656,1510,788,393,186,689,1038.3,1023.9,18759.30725,29.2,24.80,29.78,0.13,G,Skylar Diggins
Napheesa Collier,12129,153,5395,2787,1054,2182,138,436,541,656,319,950,465,352,271,189,426,616.9,594.1,10761.43775,25.3,24.69,29.50,0.23,F,Napheesa Collier
Tully Bevilaqua,28076,468,8566,1763,574,1466,290,852,325,473,160,607,853,514,571,41,813,1303.7,1273,15942.8105,21.6,24.52,29.32,0.15,G,Tully Bevilaqua
Epiphanny Prince,28231,413,7152,3381,1152,2841,368,978,709,820,173,528,800,408,429,74,525,1378.6,1374.7,13994.6465,29.8,24.47,29.04,0.17,G,Epiphanny Prince
Sheri Sam,20035,305,9274,3353,1287,3242,218,722,561,804,434,922,745,650,438,54,766,928.8,926.2,16525.325,20.4,23.72,28.78,0.14,G,Sheri Sam
Janel McCarville,18088,250,6082,2215,887,1808,20,72,421,544,396,865,551,491,294,201,597,883.6,835,11783.59375,20.3,24.35,28.64,0.21,F,Janel McCarville
Natasha Howard,22209,308,7728,3867,1515,3186,151,508,686,915,610,1274,496,699,382,332,969,1118.5,1075.3,15575.1365,23.1,22.84,28.25,0.15,F,Natasha Howard
Allisha Gray,16164,212,7741,3384,1134,2661,328,944,788,964,320,804,583,375,304,136,597,818.3,826.1,15545.81725,24.3,24.43,28.23,0.16,G,Allisha Gray
Erlana Larkins,18122,257,5104,1445,554,1000,0,0,337,450,509,820,361,326,242,85,546,861,870.1,9709.49725,20.2,23.59,27.76,0.24,F,Erlana Larkins
Natasha Cloud,18175,256,8048,2449,838,2183,279,902,494,613,87,842,1522,588,291,67,599,928.2,897.4,15936.02775,15.1,23.75,26.63,0.15,G,Natasha Cloud
Ann Wauters,18057,237,5257,2170,857,1601,24,67,432,569,294,811,290,440,142,153,493,847.9,839.6,9381.23575,20,21.97,26.50,0.23,C,Ann Wauters
Armintie Herrington,18099,243,6191,1696,631,1387,1,14,433,772,427,533,589,377,340,46,523,848.3,842.6,12336.943,14.3,22.35,26.30,0.18,G,Armintie Herrington
Latasha Byears,20021,291,4680,1920,816,1581,7,30,281,443,523,667,197,360,245,55,730,978.5,977.6,8783.862,18.3,20.38,26.08,0.23,G,Latasha Byears
Wendy Palmer,22022,308,7651,3135,1154,2659,146,476,681,963,534,1290,322,517,226,70,831,1028.7,1091.2,14141.13075,20.7,20.81,25.78,0.15,F,Wendy Palmer
Tanisha Wright,28163,401,10817,3324,1211,2857,138,448,764,917,327,863,1423,954,427,71,1109,1350.9,1348.3,20758.4135,19.6,21.70,25.53,0.10,G,Tanisha Wright
Noelle Quinn,24150,342,7660,1824,702,1774,184,571,236,296,164,847,878,422,256,77,437,1142,1173.7,14933.5415,9.3,21.64,25.46,0.14,G,Noelle Quinn
Nicole Powell,22099,308,8996,3407,1195,3071,579,1532,438,497,371,1086,567,525,401,100,701,1072.9,1053.4,17091.569,30.4,21.49,25.29,0.13,F,Nicole Powell
Nykesha Sales,18027,252,8700,3931,1471,3517,352,985,637,816,328,820,677,575,486,80,796,879.3,854.8,15894.35,30.9,20.62,24.92,0.13,F,Nykesha Sales
Sabrina Ionescu,10110,125,4497,2337,777,1920,379,1042,404,446,115,693,851,417,134,49,241,504.2,501.5,9106.871,16.4,22.90,24.82,0.25,G,Sabrina Ionescu
Liz Cambage,12104,158,4089,2634,971,1800,23,82,669,883,314,944,265,403,110,264,483,596.3,587.5,8390.07625,20.2,20.44,24.16,0.24,C,Liz Cambage
Jessica Breland,18144,261,5698,1918,833,1897,22,78,230,296,421,1165,377,378,204,367,562,855.9,898.5,11430.59175,10.8,19.92,23.51,0.17,F,Jessica Breland
Murriel Page,22033,308,8458,2146,888,1914,21,81,349,534,562,1033,410,432,204,193,872,1017.5,1051.5,15391.51075,15.3,18.60,22.96,0.12,F,Murriel Page
Tamika Raymond,14035,182,5076,1329,548,998,5,31,228,421,483,644,212,311,175,32,354,656.9,667.3,9093.86325,20.2,19.15,22.89,0.21,F,Tamika Raymond
Anna DeForge,16042,242,6544,2413,851,2113,334,894,377,459,193,576,503,374,266,49,365,759.3,761,12129.72325,20.9,19.29,22.77,0.16,G,Anna DeForge
Kiah Stokes,18176,248,5634,1013,408,828,40,181,157,232,402,1196,205,219,147,302,558,886.1,876.1,11321.53775,16.6,19.18,22.55,0.17,C,Kiah Stokes
Brittney Sykes,16164,220,6394,2875,1045,2511,200,662,585,781,196,786,659,458,303,115,563,781.2,786.7,12922.4465,12,19.18,22.48,0.15,G,Brittney Sykes
Brionna Jones,16164,204,4549,2201,866,1557,5,29,464,601,459,555,230,282,217,89,516,811.5,767.8,9050.2815,25.2,18.56,22.37,0.21,F,Brionna Jones
Courtney Paris,20144,274,4685,1404,626,1186,0,5,152,296,588,1008,221,194,112,178,617,980.3,1019.5,9218.0915,16,18.88,22.21,0.20,C,Courtney Paris
Alysha Clark,24213,369,8853,2624,976,2011,364,950,308,385,309,1028,563,415,288,85,802,1218.5,1161.9,17451.34675,24.9,17.13,21.98,0.10,F,Alysha Clark
Tamecka Dixon,26039,364,9445,3507,1353,3181,126,402,675,836,285,750,960,716,355,62,849,1260.9,1231.9,17697.75875,22.6,17.33,21.91,0.10,G,Tamecka Dixon
Jantel Lavender,22178,310,6873,2775,1211,2446,27,118,326,398,490,1079,350,444,107,170,513,1055,1074,13617.32325,15.8,18.49,21.66,0.14,F,Jantel Lavender
Teaira McCowan,12129,153,4450,2120,820,1481,1,11,479,725,600,992,187,318,106,208,594,622,626.8,8937.2005,16.9,18.49,21.64,0.21,C,Teaira McCowan
