player,season,AGE,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,OFFRTG,DEFRTG,player_possessions,WS,win_score_final,win_score_final_40_game_season,wins_per_100_poss,Pos,Player
Marina Mabrey,12129,153,4886,2363,865,2112,370,1014,263,339,116,549,595,385,177,67,422,609.2,611.5,9901.7425,9.2,11.75,13.23,0.12,G,Marina Mabrey
Adrian Williams-Strong,16031,223,4638,1372,557,1315,0,2,258,407,362,769,161,353,216,85,497,704.2,772.2,8609.48475,6,10.86,13.06,0.13,C,Adrian Williams-Strong
Natalie Achonwa,16148,212,3766,1494,588,1132,3,25,315,390,290,605,235,214,115,98,459,773.8,810.4,7580.5155,12.3,11.01,13.00,0.15,F,Natalie Achonwa
Cathrine Kraayeveld,18081,252,6082,1926,673,1675,343,903,237,314,253,760,290,406,167,129,484,866.8,868.9,11783.91975,10.5,11.04,12.99,0.09,F,Cathrine Kraayeveld
Janice Braxton,5994,111,2112,728,246,537,7,22,229,306,102,362,154,153,105,54,193,275.4,270,3949.5825,9,9.61,12.96,0.24,F,Janice Braxton
Tan White,20095,275,7078,2595,944,2520,311,971,396,490,188,581,578,557,360,76,698,936.3,923,13891.37125,10.8,10.98,12.91,0.08,G,Tan White
Sophia Witherspoon,14000,217,4852,2210,733,1925,260,738,484,604,140,307,314,386,208,31,342,656.5,642.2,8968.19925,13.9,9.69,12.87,0.11,G,Sophia Witherspoon
Allison Feaster,20026,276,6308,2258,739,1954,372,1082,408,489,237,456,406,372,219,53,504,929.4,957.8,10883.24025,18.3,10.45,12.85,0.10,F,Allison Feaster
Le'coe Willingham,20085,285,4864,1552,604,1232,71,240,273,383,425,629,219,325,143,51,571,964.5,958.3,9646.78875,12.6,10.87,12.79,0.11,F,Le'coe Willingham
Michele Timms,9995,175,3280,854,283,843,127,394,161,214,71,242,549,297,187,18,321,463.8,449.3,6062.80675,6.9,9.37,12.60,0.15,G,Michele Timms
Lisa Harrison,12010,190,4504,1119,465,1000,14,41,175,226,222,450,227,197,157,20,338,560.4,572.5,7922.70475,9.9,10.08,12.48,0.13,F,Lisa Harrison
Maria Stepanova,10003,113,2075,867,357,739,1,4,152,241,189,342,103,146,83,182,300,475.3,436,3734.993,8.5,9.96,12.33,0.27,C,Maria Stepanova
Janell Burse,16037,213,4319,1580,581,1223,1,6,417,606,385,559,127,347,115,216,632,774.1,744.9,8120.58825,12,10.40,12.27,0.13,C,Janell Burse
Arike Ogunbowale,12129,153,6706,4014,1368,3482,497,1419,781,910,119,531,769,443,300,19,491,613.3,632.4,13473.177,18,10.83,12.17,0.08,G,Arike Ogunbowale
Aerial Powers,18180,243,3726,1994,646,1626,172,512,530,628,176,459,302,322,151,47,321,918.4,914.6,7665.90975,8.3,9.97,12.11,0.13,G,Aerial Powers
Nakia Sanford,22088,363,6151,1915,692,1431,4,16,527,893,536,883,209,531,181,131,979,1014.5,1030.8,12033.105,9.1,10.19,11.99,0.08,C,Nakia Sanford
Damiris Dantas,18170,242,4485,1639,616,1445,182,528,225,290,232,672,342,254,121,77,459,907.2,887,9025.472,11.2,8.99,11.92,0.10,C,Damiris Dantas
Damiris Dantas,18170,242,4485,1639,616,1445,182,528,225,290,232,672,342,254,121,77,459,907.2,887,9025.472,11.2,8.99,11.92,0.10,F,Damiris Dantas
Rhonda Mapp,11998,184,3468,1369,540,1127,14,53,275,358,256,532,237,263,112,69,483,560.4,590.3,6303.61525,12.1,9.10,11.78,0.14,C,Rhonda Mapp
Simone Edwards,12015,177,3184,936,363,760,1,1,209,323,239,386,91,173,83,56,270,545.7,555.1,5525.5585,8.1,9.56,11.75,0.17,C,Simone Edwards
Ivory Latta,22132,308,7829,3447,1149,2922,536,1453,613,723,104,447,885,534,243,16,565,1063.3,1114.7,15454.83575,17.6,9.93,11.68,0.06,G,Ivory Latta
Alex Montgomery,16116,212,3521,902,358,957,95,279,91,119,179,556,252,217,112,45,374,703.4,779.6,6872.35275,2.5,9.91,11.66,0.14,G,Alex Montgomery
Tiffany Jackson,18104,248,4125,1389,510,1150,1,3,368,517,330,672,200,354,185,76,407,810.6,878.2,8129.15325,5.6,9.89,11.64,0.12,F,Tiffany Jackson
Marie Ferdinand-Harris,20060,280,7370,3001,1055,2623,116,415,775,975,241,587,528,518,331,45,646,945.4,976.7,13788.7705,14.7,9.44,11.43,0.07,G,Marie Ferdinand-Harris
Erica Wheeler,18175,265,6897,2605,995,2493,244,744,371,452,116,617,1112,597,286,30,646,860.4,910.7,13650.5635,4.3,9.96,11.41,0.07,G,Erica Wheeler
Erin Perperoglou,16041,217,4019,1232,418,949,56,163,340,471,256,415,261,305,184,108,504,762.3,756.2,7606.0745,11.4,9.60,11.41,0.13,F,Erin Perperoglou
Kristi Harrower,14017,199,3418,667,223,608,90,284,131,173,58,254,450,227,127,11,182,670.3,644.8,6089.202,5.3,9.16,11.20,0.15,G,Kristi Harrower
Shatori Walker-Kimbrough,16164,212,4415,1473,502,1188,163,466,306,345,68,303,304,227,194,73,258,793.7,795.7,9035.9055,9.3,9.27,10.99,0.10,G,Shatori Walker-Kimbrough
Kara Braxton,20095,275,4854,2237,934,1969,7,25,362,565,501,886,282,570,168,157,748,953.9,953.7,9790.9115,8.6,9.32,10.96,0.10,C,Kara Braxton
Cindy Brown,3997,69,1616,532,183,446,28,101,138,197,119,328,85,114,85,36,166,186,185.8,3036.00575,5.9,8.17,10.77,0.27,F,Cindy Brown
Azura Stevens,14147,182,3957,1658,649,1474,164,486,196,250,236,649,198,222,147,183,365,678.6,712.1,8087.97575,9.1,8.84,10.76,0.11,F,Azura Stevens
Shay Murphy,18101,245,2838,1056,365,997,134,417,192,252,226,306,162,151,142,27,296,826.8,849.3,5648.04425,7.9,9.13,10.74,0.16,G,Shay Murphy
Bridget Pettis,16006,246,3888,1405,455,1335,153,568,342,423,175,280,315,284,177,31,348,747.6,746.1,7197.8925,8.9,7.98,10.72,0.11,G,Bridget Pettis
Sharon Manning,7994,122,1929,541,218,464,2,5,103,188,180,298,77,138,108,20,203,351.1,355.6,3457.41125,5.2,8.07,10.62,0.23,F,Sharon Manning
Aliyah Boston,4047,45,2485,1138,469,849,11,36,189,255,236,454,215,154,88,99,255,210.2,213.7,4993.738,10.5,10.61,10.61,0.21,F,Aliyah Boston
Rhyne Howard,6069,72,3367,1752,577,1546,264,772,334,424,78,400,328,179,159,70,260,295.6,300.8,6808.20475,9.4,10.26,10.56,0.15,G,Rhyne Howard
Rita Williams,12003,153,4009,1181,369,972,150,442,293,395,79,288,403,326,271,19,307,547.1,576,7207.031,6.9,8.39,10.51,0.12,G,Rita Williams
Brittany Boyd-Jones,12106,154,2397,809,285,727,32,119,207,282,74,338,508,281,176,12,287,551.9,563.3,4918.65875,3.3,8.89,10.46,0.18,G,Brittany Boyd-Jones
Isabelle Harrison,14139,188,4049,1665,679,1431,6,32,301,400,310,650,214,277,160,93,440,679.1,715.1,8080.74,8.2,8.69,10.43,0.11,F,Isabelle Harrison
Kia Vaughn,26198,380,7144,2288,1012,2162,1,10,263,394,532,1094,322,454,208,175,755,1228,1268.1,13993.082,11.9,8.83,10.34,0.06,C,Kia Vaughn
Sonja Henning,10005,160,3699,490,183,514,49,176,75,135,78,268,341,182,194,23,280,462.4,456.9,6303.1745,4,8.26,10.32,0.13,G,Sonja Henning
Karima Christmas-Kelly,20155,265,5561,1919,578,1545,181,563,582,736,384,524,305,269,261,75,494,968.4,977.7,10850.83425,15.1,8.62,10.19,0.08,F,Karima Christmas-Kelly
Candice Wiggins,16092,204,4928,1901,581,1567,290,800,449,539,135,392,417,349,215,38,525,779.1,771.3,9807.18725,12,8.63,10.15,0.09,G,Candice Wiggins
Carolyn Swords,18141,240,3117,920,378,708,0,0,164,210,292,522,132,199,71,104,442,867.6,874,6341.4985,9.7,7.62,9.97,0.12,C,Carolyn Swords
Alison Bales,8036,100,1900,476,180,393,14,37,102,134,106,351,85,59,63,148,186,366.6,364.3,3900.208,6.8,8.39,9.87,0.22,C,Alison Bales
Roneeka Hodges,22110,308,5873,1925,676,1782,389,1129,184,229,121,467,362,243,135,55,333,1052.2,1100.7,11525.4075,9,8.37,9.85,0.07,G,Roneeka Hodges
Devereaux Peters,12088,154,2518,690,295,623,4,13,96,130,179,404,170,149,79,133,301,583.5,574.9,4954.96425,7,8.33,9.80,0.17,F,Devereaux Peters
Shey Peddy,10105,165,2146,694,236,588,99,315,123,136,86,194,267,107,121,12,155,484.7,482.1,4298.21975,5.7,8.00,9.75,0.19,G,Shey Peddy
Eva Nemcova,9995,135,3362,1288,468,1061,130,322,222,248,85,294,215,252,119,63,216,465.2,455.2,6204.5005,10.3,7.27,9.68,0.12,F,Eva Nemcova
Sophie Cunningham,12129,153,4143,1409,456,1081,254,702,243,283,76,419,262,164,125,45,439,604.2,606.1,8293.6005,8.7,9.02,9.67,0.11,G,Sophie Cunningham
Kalana Greene,12075,153,3113,719,282,668,36,131,119,174,102,312,199,131,136,42,234,556.8,569.7,6136.78075,5.7,8.22,9.66,0.13,G,Kalana Greene
Kelsey Griffin,10060,125,2952,801,284,756,40,156,193,263,236,447,126,137,147,75,309,471.3,469.6,5900.99,7.4,8.06,9.48,0.14,F,Kelsey Griffin
Alanna Smith,12129,153,2705,939,352,796,99,327,136,195,176,444,234,172,127,139,327,579.4,573.3,5469.018,8.2,8.80,9.40,0.16,F,Alanna Smith
Kim Perrot,3995,63,1681,413,146,380,57,207,64,107,34,133,227,147,153,2,123,203.5,174.6,3079.02575,5.7,6.84,9.38,0.22,G,Kim Perrot
Kym Hampton,5994,108,2241,840,310,681,1,4,219,314,165,355,84,161,92,52,262,273.8,263.8,4090.9415,9,6.89,9.33,0.17,C,Kym Hampton
Erin Thorn,22088,308,4248,1338,465,1177,243,659,165,187,74,305,414,270,107,12,195,1029.4,1079.7,8171.03,7,7.88,9.27,0.10,G,Erin Thorn
Nicole Ohlde,14049,182,5240,1959,690,1579,0,5,579,767,361,679,326,434,100,171,631,668.3,695.6,10031.54,10.4,7.83,9.21,0.08,F,Nicole Ohlde
Moriah Jefferson,16161,217,4414,1715,674,1548,148,382,219,279,69,309,676,312,216,24,352,760.4,837.4,8691.30425,6.6,7.84,9.10,0.09,G,Moriah Jefferson
Kayla Thornton,18179,251,6433,1927,671,1632,230,704,355,422,394,760,321,250,226,81,586,882.6,907,12890.32575,15.5,7.80,8.98,0.06,F,Kayla Thornton
Coquese Washington,12003,183,2566,464,157,466,73,222,77,105,45,228,332,200,161,13,220,566,540.8,4496.515,4.2,7.13,8.94,0.16,G,Coquese Washington
Charlotte Smith,16020,236,5604,1412,495,1248,164,467,258,360,266,528,352,337,115,81,638,758.8,757.7,9525.83575,7.8,7.39,8.93,0.08,F,Charlotte Smith
Coco Miller,24078,342,6360,2030,837,1981,139,414,217,284,322,428,503,410,237,29,615,1104.2,1153.8,12106.79475,9.2,7.38,8.84,0.06,G,Coco Miller
Katie Mattera,10035,125,2347,1000,366,736,0,0,268,389,238,470,38,248,32,131,384,443.4,475.6,4616.8215,5.1,7.52,8.84,0.16,C,Katie Mattera
Michelle Brogan,3998,54,1505,486,163,321,19,48,141,177,85,159,90,88,74,11,136,196.6,179.5,2729.922,7.4,6.75,8.77,0.25,F,Michelle Brogan
Natisha Hiedeman,12129,153,3831,1311,461,1160,238,631,151,214,50,289,458,215,152,22,333,593.5,587.7,7683.11975,10.4,7.76,8.69,0.10,G,Natisha Hiedeman
Lindsay Allen,14145,187,3371,874,333,778,50,190,158,199,58,250,596,195,106,15,234,692.2,707.4,6841.53175,5.2,7.57,8.64,0.11,G,Lindsay Allen
Diamond DeShields,12124,160,4279,2026,715,1795,147,519,449,560,107,543,361,333,180,60,445,580.7,603.9,8849.55425,4.1,7.21,8.63,0.08,G,Diamond DeShields
DeMya Walker,26078,377,6435,2379,927,2055,7,50,518,816,538,661,446,684,220,155,882,1200.4,1209.9,12003.7425,8.7,7.11,8.43,0.06,F,DeMya Walker
Satou Sabally,10110,125,2883,1525,503,1204,145,431,374,441,181,500,353,246,109,54,322,523.2,524,5914.3665,9.6,7.28,8.22,0.12,F,Satou Sabally
Alisa Burras,10005,135,2033,862,362,639,0,0,138,198,160,302,45,175,39,30,229,445.7,472,3641.1225,5.9,6.58,8.21,0.18,C,Alisa Burras
Alexis Hornbuckle,12063,153,3553,866,316,901,96,291,138,216,180,414,336,288,225,55,450,552.9,581.7,7189.226,1.9,6.88,8.10,0.10,G,Alexis Hornbuckle
Isabelle Fijalkowski,3995,53,1609,715,271,513,5,14,168,209,121,228,126,154,34,44,244,193,180.7,3033.5515,7.6,5.93,8.09,0.20,F,Isabelle Fijalkowski
Jessica Davenport,12057,153,2417,1148,443,872,2,14,260,355,161,378,73,229,82,151,334,555.5,553.1,4726.2955,8.1,6.87,8.08,0.15,C,Jessica Davenport
Sylvia Crawley,8006,118,3237,1050,427,979,7,20,189,264,212,415,154,251,84,106,347,359.6,373.4,5859.34,4.2,6.49,8.08,0.11,F,Sylvia Crawley
Sandy Brondello,10003,163,4576,1759,665,1606,114,278,315,369,83,217,349,253,148,16,298,474.9,468.9,8147.99,12.3,6.14,7.87,0.08,G,Sandy Brondello
Brooke Wyckoff,16041,209,4487,756,263,746,132,419,98,138,219,532,302,252,149,129,614,746.3,765.4,8233.243,4.4,6.62,7.87,0.08,F,Brooke Wyckoff
